policy,run_tag,segment_idx,variant,yaal
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,166,cu,492.2857
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,166,ca,1805.4015
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,167,cu,1059.8105
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,167,ca,2461.6373
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,168,cu,731.8182
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,169,cu,1889.0476
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,169,ca,2791.5721
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,170,cu,602.2941
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,170,ca,1747.5342
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,171,cu,-616.4394
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,171,ca,789.5702
